INFO 2023-01-03 20:19:27,199 autoreload 13864 16168 Watching for file changes with StatReloader
INFO 2023-01-03 20:24:11,136 autoreload 12564 15052 Watching for file changes with StatReloader
WARNING 2023-01-03 20:24:20,950 log 12564 15580 Not Found: /
WARNING 2023-01-03 20:24:20,962 basehttp 12564 15580 "GET / HTTP/1.1" 404 12228
INFO 2023-01-03 20:24:21,071 basehttp 12564 15580 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2023-01-03 20:24:21,088 basehttp 12564 15580 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2023-01-03 20:24:21,338 basehttp 12564 15580 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2023-01-03 20:24:21,562 basehttp 12564 15580 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
WARNING 2023-01-03 20:24:22,623 log 12564 15580 Not Found: /favicon.ico
WARNING 2023-01-03 20:24:22,626 basehttp 12564 15580 "GET /favicon.ico HTTP/1.1" 404 12289
INFO 2023-01-03 20:25:22,445 autoreload 12564 15052 C:\Users\stefa\Documents\clarusway-FS-DE-03\django\class-notes\013_FlightAppSetup\main\settings\base.py changed, reloading.
INFO 2023-01-03 20:25:24,083 autoreload 1388 14764 Watching for file changes with StatReloader
INFO 2023-01-03 20:25:34,239 autoreload 13992 6128 Watching for file changes with StatReloader
WARNING 2023-01-03 20:25:38,434 log 13992 9552 Not Found: /
WARNING 2023-01-03 20:25:38,437 basehttp 13992 9552 "GET / HTTP/1.1" 404 12227
INFO 2023-01-03 20:26:01,474 autoreload 13992 6128 C:\Users\stefa\Documents\clarusway-FS-DE-03\django\class-notes\013_FlightAppSetup\main\settings\base.py changed, reloading.
INFO 2023-01-03 20:26:02,745 autoreload 9928 2956 Watching for file changes with StatReloader
INFO 2023-01-03 21:29:55,124 autoreload 13176 1100 Watching for file changes with StatReloader
INFO 2023-01-03 21:44:44,872 autoreload 3756 4992 Watching for file changes with StatReloader
WARNING 2023-01-03 21:44:49,078 log 3756 3632 Not Found: /
WARNING 2023-01-03 21:44:49,084 basehttp 3756 3632 "GET / HTTP/1.1" 404 12334
WARNING 2023-01-03 21:44:50,314 log 3756 3632 Not Found: /favicon.ico
WARNING 2023-01-03 21:44:50,315 basehttp 3756 3632 "GET /favicon.ico HTTP/1.1" 404 12395
WARNING 2023-01-03 21:45:05,745 log 3756 3632 Not Found: /users/auth/
WARNING 2023-01-03 21:45:05,749 basehttp 3756 3632 "GET /users/auth/ HTTP/1.1" 404 13749
WARNING 2023-01-03 21:45:26,249 log 3756 3632 Method Not Allowed: /users/auth/login/
WARNING 2023-01-03 21:45:26,251 basehttp 3756 3632 "GET /users/auth/login/ HTTP/1.1" 405 17762
INFO 2023-01-03 21:45:26,437 basehttp 3756 12336 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2023-01-03 21:45:26,488 basehttp 3756 12336 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2023-01-03 21:45:26,512 basehttp 3756 10116 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2023-01-03 21:45:26,548 basehttp 3756 12336 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2023-01-03 21:45:26,557 basehttp 3756 10116 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2023-01-03 21:45:26,567 basehttp 3756 3632 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2023-01-03 21:45:26,571 basehttp 3756 9328 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2023-01-03 21:45:26,601 basehttp 3756 5228 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2023-01-03 21:45:26,626 basehttp 3756 12336 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2023-01-03 21:45:26,641 basehttp 3756 9468 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2023-01-03 21:45:26,678 basehttp 3756 12336 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2023-01-03 21:47:16,547 basehttp 3756 12336 "POST /users/auth/login/ HTTP/1.1" 200 17325
INFO 2023-01-03 21:47:16,601 basehttp 3756 12336 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2023-01-03 21:47:16,631 basehttp 3756 3632 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2023-01-03 21:47:16,631 basehttp 3756 12336 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2023-01-03 21:47:16,632 basehttp 3756 9328 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2023-01-03 21:47:16,632 basehttp 3756 10116 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
